ProcessID,Retransmissions,Success,Latency
3,1,False,3
2,3,False,7
1,1,False,3
2,3,False,7
1,2,False,5
1,2,False,5
2,2,True,5
0,1,False,3
0,1,True,3
0,3,True,7
2,1,True,3
2,3,False,7
3,0,True,1
3,1,True,3
1,1,True,3
1,0,True,1
3,2,True,5
2,3,False,7
3,1,False,3
1,3,True,7
2,0,True,1
0,1,False,3
2,2,True,5
2,3,False,7
3,2,True,5
2,0,False,1
1,1,False,3
2,0,False,1
2,3,True,7
0,3,True,7
3,2,False,5
1,0,False,1
0,3,False,7
3,1,True,3
1,2,True,5
2,0,True,1
2,2,True,5
3,0,False,1
0,2,False,5
1,2,False,5
3,0,True,1
1,3,False,7
3,2,False,5
2,3,False,7
2,3,False,7
0,0,True,1
1,2,False,5
2,0,True,1
3,2,True,5
0,0,False,1
1,1,False,3
1,2,True,5
0,2,False,5
1,0,True,1
1,1,True,3
0,2,False,5
0,0,False,1
1,2,True,5
0,2,False,5
0,0,True,1
2,0,False,1
1,0,True,1
2,0,True,1
0,2,True,5
0,0,True,1
0,2,False,5
3,1,True,3
2,1,True,3
0,1,False,3
2,1,False,3
3,1,False,3
1,1,False,3
2,2,True,5
1,3,False,7
0,0,True,1
3,1,False,3
3,2,True,5
3,0,True,1
3,0,False,1
0,1,True,3
1,0,False,1
3,0,True,1
3,2,True,5
1,0,True,1
1,0,False,1
3,3,False,7
3,1,False,3
1,3,False,7
3,2,True,5
2,2,False,5
1,1,False,3
1,1,True,3
2,2,False,5
0,0,False,1
0,3,False,7
1,1,False,3
0,0,False,1
0,3,True,7
0,1,False,3
2,3,True,7
